"","acousticness","danceability","release_date"
"224",0.0907,0.318,"1967-06-01"
"225",0.122,0.673,"1967-05-26"
"226",0.126,0.643,"1967-06-01"
"227",0.0341,0.361,"1967-06-01"
"228",0.258,0.338,"1967-06-01"
"229",0.0644,0.617,"1967-05-26"
"230",0.0913,0.598,"1967-06-01"
"231",0.0369,0.624,"1967-06-01"
"232",0.49,0.697,"1967-06-01"
"233",0.131,0.59,"1967-05-26"
"234",0.508,0.696,"1967-05-26"
"235",0.503,0.405,"1967-06-01"
"236",0.879,0.372,"1967-06-01"
"237",0.00624,0.58,"1967-06-01"
"238",0.07,0.591,"1967-05-26"
"239",0.13,0.246,"1967-06-01"
"240",0.325,0.292,"1967-06-01"
"241",0.357,0.291,"1967-05-26"
"242",0.881,0.376,"1967-05-26"
"243",0.385,0.413,"1967-05-26"
"244",0.483,0.415,"1967-05-26"
"245",0.342,0.38,"1967-06-01"
"246",0.000312,0.511,"1967-06-01"
"247",0.000202,0.575,"1967-06-01"
"248",0.00726,0.578,"1967-05-26"
"249",0.000249,0.576,"1967-05-26"
"250",0.103,0.247,"1967-05-26"
"251",0.439,0.547,"1967-05-26"
"252",0.829,0.623,"1967-05-26"
"253",0.000302,0.505,"1967-05-26"
"254",0.746,0.36,"1967-06-01"
"255",0.256,0.585,"1967-06-01"
"256",0.787,0.418,"1967-06-01"
"257",0.498,0.411,"1967-05-26"
"258",0.253,0.912,"1967-06-01"
"259",0.754,0.369,"1967-05-26"
"260",0.696,0.527,"1967-05-26"
"261",0.918,0.493,"1967-06-01"
"262",0.219,0.444,"1967-06-01"
"263",0.219,0.448,"1967-05-26"
"264",0.218,0.815,"1967-06-01"
"265",0.95,0.355,"1967-05-26"
"266",0.914,0.45,"1967-06-01"
"267",0.412,0.724,"1967-06-01"
"268",0.166,0.605,"1967-06-01"
"269",0.138,0.269,"1967-05-26"
"270",0.676,0.376,"1967-06-01"
"271",0.452,0.592,"1967-06-01"
"272",0.287,0.472,"1967-06-01"
"273",0.0225,0.752,"1967-06-01"
"274",0.32,0.816,"1967-05-26"
"275",0.257,0.332,"1967-05-26"
"276",0.258,0.797,"1967-06-01"
"277",0.0362,0.59,"1967-05-26"
"278",0.69,0.897,"1967-06-01"
"279",0.931,0.442,"1967-05-26"
"280",0.922,0.508,"1967-05-26"
"281",0.294,0.705,"1967-05-26"
"282",0.667,0.901,"1967-05-26"
"283",0.288,0.487,"1967-05-26"
"284",0.806,0.703,"1967-05-26"
"285",0.218,0.438,"1967-05-26"
"286",0.352,0.597,"1967-05-26"
"287",0.905,0.5,"1967-05-26"
"288",0.384,0.671,"1967-05-26"
"289",0.7,0.879,"1967-05-26"
"290",0.0231,0.749,"1967-05-26"
"291",0.185,0.622,"1967-05-26"
"292",0.495,0.602,"1967-05-26"
"293",0.717,0.695,"1967-05-26"
"294",0.0663,0.326,"1967-05-26"
"295",0.254,0.915,"1967-05-26"
"296",0.699,0.383,"1967-05-26"
"297",0.421,0.331,"1967-05-26"
"298",0.911,0.438,"1967-05-26"
"299",0.324,0.478,"1967-05-26"
"300",0.724,0.46,"1967-05-26"
"301",0.412,0.718,"1967-05-26"
"302",0.869,0.423,"1967-05-26"
"303",0.268,0.787,"1967-05-26"
"304",0.819,0.243,"1967-05-26"
"305",0.177,0.572,"1967-05-26"
"306",0.0047,0.62,"1967-05-26"
"307",0.0104,0.551,"1967-05-26"
"308",0.953,0.372,"1967-05-26"
"309",0.723,0.475,"1967-05-26"
"310",0.606,0.6,"1967-05-26"
"311",0.124,0.769,"1967-05-26"
"312",0.0275,0.762,"1967-05-26"
"313",0.679,0.586,"1967-05-26"
"314",0.928,0.47,"1967-05-26"
"315",0.828,0.36,"1967-05-26"
"316",0.936,0.581,"1966-08-05"
"317",0.531,0.604,"1966-08-05"
"318",0.783,0.483,"1966-08-05"
"319",0.21,0.494,"1966-08-05"
"320",0.42,0.521,"1966-08-05"
"321",0.0101,0.469,"1966-08-05"
"322",0.921,0.29,"1966-08-05"
"323",0.719,0.77,"1966-08-05"
"324",0.0067,0.555,"1966-08-05"
"325",8.4e-05,0.38,"1966-08-05"
"326",0.103,0.329,"1966-08-05"
"327",0.7,0.391,"1966-08-05"
"328",0.182,0.493,"1966-08-05"
"329",0.164,0.394,"1966-08-05"
"330",0.879,0.332,"1965-08-06"
"331",0.449,0.688,"1965-12-03"
"332",0.188,0.534,"1965-08-06"
"333",0.183,0.425,"1965-12-03"
"334",0.652,0.578,"1965-12-03"
"335",0.0457,0.519,"1965-08-06"
"336",0.0173,0.754,"1965-12-03"
"337",0.00797,0.534,"1965-12-03"
"338",0.207,0.398,"1965-08-06"
"339",0.723,0.647,"1965-08-06"
"340",0.587,0.699,"1965-12-03"
"341",0.00772,0.667,"1965-12-03"
"342",0.136,0.488,"1965-12-03"
"343",0.346,0.533,"1965-08-06"
"344",0.0537,0.461,"1965-08-06"
"345",0.0103,0.563,"1965-12-03"
"346",0.00748,0.492,"1965-12-03"
"347",0.0124,0.529,"1965-12-03"
"348",0.0175,0.552,"1965-12-03"
"349",0.00682,0.59,"1965-12-03"
"350",0.277,0.601,"1965-08-06"
"351",0.0168,0.67,"1965-12-03"
"352",0.22,0.629,"1965-08-06"
"353",0.238,0.516,"1965-08-06"
"354",0.366,0.702,"1965-08-06"
"355",0.415,0.555,"1965-08-06"
"356",0.061,0.592,"1965-08-06"
"357",0.116,0.373,"1965-08-06"
"358",0.137,0.59,"1964-07-10"
"359",0.64,0.767,"1964-07-10"
"360",0.412,0.652,"1964-12-04"
"361",0.283,0.483,"1964-07-10"
"362",0.68,0.665,"1964-07-10"
"363",0.789,0.689,"1964-12-04"
"364",0.257,0.682,"1964-07-10"
"365",0.67,0.718,"1964-12-04"
"366",0.138,0.658,"1964-07-10"
"367",0.239,0.551,"1964-07-10"
"368",0.586,0.267,"1964-07-10"
"369",0.566,0.457,"1964-12-04"
"370",0.744,0.721,"1964-07-10"
"371",0.567,0.492,"1964-12-04"
"372",0.366,0.612,"1964-07-10"
"373",0.367,0.612,"1964-07-10"
"374",0.323,0.551,"1964-12-04"
"375",0.434,0.374,"1964-12-04"
"376",0.0917,0.643,"1964-07-10"
"377",0.796,0.631,"1964-12-04"
"378",0.488,0.74,"1964-12-04"
"379",0.614,0.588,"1964-12-04"
"380",0.301,0.695,"1964-12-04"
"381",0.451,0.533,"1964-12-04"
"382",0.384,0.568,"1964-07-10"
"383",0.466,0.543,"1964-12-04"
"384",0.473,0.629,"1964-12-04"
"385",0.641,0.482,"1963-03-22"
"386",0.27,0.491,"1963-03-22"
"387",0.207,0.416,"1963-11-22"
"388",0.386,0.52,"1963-03-22"
"389",0.79,0.727,"1963-11-22"
"390",0.608,0.673,"1963-03-22"
"391",0.334,0.527,"1963-03-22"
"392",0.635,0.608,"1963-03-22"
"393",0.525,0.373,"1963-11-22"
"394",0.778,0.608,"1963-03-22"
"395",0.217,0.49,"1963-11-22"
"396",0.289,0.351,"1963-11-22"
"397",0.284,0.472,"1963-11-22"
"398",0.554,0.371,"1963-11-22"
"399",0.675,0.552,"1963-11-22"
"400",0.707,0.591,"1963-03-22"
"401",0.389,0.635,"1963-03-22"
"402",0.767,0.605,"1963-03-22"
"403",0.664,0.54,"1963-11-22"
"404",0.607,0.402,"1963-03-22"
"405",0.425,0.545,"1963-11-22"
"406",0.227,0.618,"1963-11-22"
"407",0.477,0.553,"1963-11-22"
"408",0.608,0.654,"1963-03-22"
"409",0.698,0.42,"1963-03-22"
"410",0.629,0.455,"1963-03-22"
"411",0.213,0.471,"1963-11-22"
"412",0.292,0.526,"1963-11-22"
